2024-11-30T00:58:04.306+01:00 ERROR 65188 --- [   arg--epoll-3] NALEPA-LOGGER                            : Thread[#37,arg--epoll-3,5,main]: FLATMAP_START: klient: 5
2024-11-30T00:58:04.306+01:00 ERROR 65188 --- [   arg--epoll-3] NALEPA-LOGGER                            : Thread[#37,arg--epoll-3,5,main]: FLATMAP_START: klient: 6
2024-11-30T00:58:04.307+01:00 ERROR 65188 --- [     XX-epoll-4] NALEPA-LOGGER                            : Thread[#57,XX-epoll-4,5,main]: FLATMAP_END: klient: 6
2024-11-30T00:58:04.307+01:00 ERROR 65188 --- [   arg--epoll-3] NALEPA-LOGGER                            : Thread[#37,arg--epoll-3,5,main]: FLATMAP_START: klient: 7
2024-11-30T00:58:04.307+01:00 ERROR 65188 --- [     XX-epoll-6] NALEPA-LOGGER                            : Thread[#59,XX-epoll-6,5,main]: FLATMAP_END: klient: 10
2024-11-30T00:58:04.280+01:00 ERROR 65188 --- [   arg--epoll-8] NALEPA-LOGGER                            : Thread[#42,arg--epoll-8,5,main] START-MONO. ObjectId: IDK# 104, Time: 1732924684280
2024-11-30T00:58:04.307+01:00 ERROR 65188 --- [   arg--epoll-8] NALEPA-LOGGER                            : Thread[#42,arg--epoll-8,5,main]: FLATMAP_START: klient: 1
2024-11-30T00:58:04.308+01:00 ERROR 65188 --- [     XX-epoll-7] NALEPA-LOGGER                            : Thread[#60,XX-epoll-7,5,main]: FLATMAP_END: klient: 9
2024-11-30T00:58:04.308+01:00 ERROR 65188 --- [   arg--epoll-8] NALEPA-LOGGER                            : Thread[#42,arg--epoll-8,5,main]: FLATMAP_START: klient: 2
2024-11-30T00:58:04.308+01:00 ERROR 65188 --- [     XX-epoll-4] NALEPA-LOGGER                            : Thread[#57,XX-epoll-4,5,main]: FLATMAP_END: klient: 1
2024-11-30T00:58:04.309+01:00 ERROR 65188 --- [   arg--epoll-8] NALEPA-LOGGER                            : Thread[#42,arg--epoll-8,5,main]: FLATMAP_START: klient: 3
2024-11-30T00:58:04.309+01:00 ERROR 65188 --- [     XX-epoll-8] NALEPA-LOGGER                            : Thread[#61,XX-epoll-8,5,main]: FLATMAP_END: klient: 8
2024-11-30T00:58:04.309+01:00 ERROR 65188 --- [   arg--epoll-8] NALEPA-LOGGER                            : Thread[#42,arg--epoll-8,5,main]: FLATMAP_START: klient: 4
2024-11-30T00:58:04.309+01:00 ERROR 65188 --- [   arg--epoll-3] NALEPA-LOGGER                            : Thread[#37,arg--epoll-3,5,main]: FLATMAP_START: klient: 8
2024-11-30T00:58:04.309+01:00 ERROR 65188 --- [   arg--epoll-8] NALEPA-LOGGER                            : Thread[#42,arg--epoll-8,5,main]: FLATMAP_START: klient: 5
2024-11-30T00:58:04.310+01:00 ERROR 65188 --- [   arg--epoll-3] NALEPA-LOGGER                            : Thread[#37,arg--epoll-3,5,main]: FLATMAP_START: klient: 9
2024-11-30T00:58:04.310+01:00 ERROR 65188 --- [   arg--epoll-8] NALEPA-LOGGER                            : Thread[#42,arg--epoll-8,5,main]: FLATMAP_START: klient: 6
2024-11-30T00:58:04.310+01:00 ERROR 65188 --- [   arg--epoll-3] NALEPA-LOGGER                            : Thread[#37,arg--epoll-3,5,main]: FLATMAP_START: klient: 10
2024-11-30T00:58:04.310+01:00 ERROR 65188 --- [   arg--epoll-8] NALEPA-LOGGER                            : Thread[#42,arg--epoll-8,5,main]: FLATMAP_START: klient: 7
2024-11-30T00:58:04.310+01:00 ERROR 65188 --- [   arg--epoll-3] NALEPA-LOGGER                            : Thread[#37,arg--epoll-3,5,main]: FLATMAP_START: klient: 11
2024-11-30T00:58:04.311+01:00 ERROR 65188 --- [   arg--epoll-3] NALEPA-LOGGER                            : Thread[#37,arg--epoll-3,5,main]: FLATMAP_START: klient: 12
2024-11-30T00:58:04.311+01:00 ERROR 65188 --- [   arg--epoll-3] NALEPA-LOGGER                            : Thread[#37,arg--epoll-3,5,main]: FLATMAP_START: klient: 13
